순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
67,경기도,수원시 영통구,앨리웨이광교,경기 수원시 영통구 광교호수공원로 80-0,쇼핑,쇼핑몰,479828
68,경기도,남양주시,덕소역,경기 남양주시 덕소로 56-0,기타관광,교통시설,473884
69,경기도,광명시,롯데몰광명점,경기 광명시 일직로 17-0,쇼핑,쇼핑몰,471798
70,경기도,용인시 처인구,레이크사이드CC,경기 용인시 처인구 능원로 181-0,레저스포츠,육상레저스포츠,470181
71,경기도,용인시 처인구,용인공용버스터미널,경기 용인시 처인구 중부대로 1486-0,기타관광,교통시설,466656
72,경기도,양평군,양평역,경기 양평군 역전길 30-0,기타관광,교통시설,463427
73,경기도,안성시,농협경제지주안성팜랜드,경기 안성시 대신두길 28-0,문화관광,테마공원,462060
74,경기도,성남시 분당구,성남시임시버스터미널,경기 성남시 분당구 성남대로925번길 16-0,기타관광,교통시설,457352
75,경기도,화성시,리베라CC,경기 화성시 중리길 183-0,레저스포츠,육상레저스포츠,455810
76,경기도,수원시 권선구,수원농수산물도매시장,경기 수원시 권선구 세권로 243-0,쇼핑,시장,446670
77,경기도,광명시,광명동굴,경기 광명시 가학로85번길 142-0,자연관광,자연생태,444505
78,경기도,안양시 만안구,안양예술공원,경기 안양시 만안구 예술공원로 195-1,문화관광,도시공원,429104
79,경기도,이천시,비에이비스타CC,경기 이천시 어농로 272-0,레저스포츠,육상레저스포츠,427518
80,경기도,고양시 덕양구,행주산성,경기 고양시 덕양구 행주로15번길 89-0,역사관광,역사유적지,424210
81,경기도,하남시,미사경정공원,경기 하남시 미사대로 505-0,문화관광,도시공원,415515
82,경기도,고양시 일산동구,뉴코아아울렛일산점,경기 고양시 일산동구 중앙로 1206-0,쇼핑,대형마트,414579
83,경기도,파주시,문산역,경기 파주시 문산역로 94-0,기타관광,교통시설,412361
84,경기도,안산시 단원구,방아머리해변,경기도 안산시 단원구 대부황금로 1531,자연관광,자연경관(하천/해양),410935
85,경기도,포천시,산정호수,경기 포천시 영북면 산정호수로411번길 108,자연관광,자연경관(하천/해양),410273
86,경기도,성남시 분당구,롯데백화점분당점,경기 성남시 분당구 황새울로200번길 45-0,쇼핑,백화점,400056
87,경기도,시흥시,삼미시장,경기 시흥시 삼미시장2길 29-0,쇼핑,시장,396903
88,경기도,남양주시,마석역,경기 남양주시 마석중앙로 107-0,기타관광,교통시설,392003
89,경기도,양주시,LF스퀘어양주점,경기 양주시 평화로 1593-0,쇼핑,쇼핑몰,391714
90,경기도,광주시,남한산성,경기 광주시 남한산성로 784-16,역사관광,역사유적지,383437
91,경기도,고양시 일산서구,원마운트,경기 고양시 일산서구 한류월드로 300-0,쇼핑,쇼핑몰,381606
92,경기도,수원시 팔달구,뉴코아아울렛동수원점,경기 수원시 팔달구 인계로 154-0,쇼핑,대형마트,380960
93,경기도,고양시 일산동구,벨라시타,경기 고양시 일산동구 강송로 33-0,쇼핑,쇼핑몰,378462
94,경기도,수원시 영통구,수원컨벤션센터,경기 수원시 영통구 광교중앙로 140-0,문화관광,전시시설,378448
95,경기도,파주시,프로방스,경기 파주시 새오리로 69-0,기타관광,기타관광,378223
96,경기도,용인시 기흥구,태광CC,경기 용인시 기흥구 흥덕4로 77-0,레저스포츠,육상레저스포츠,376468
97,경기도,가평군,남이섬선착장,경기 가평군 북한강변로 1024-0,기타관광,교통시설,375011
98,경기도,성남시 분당구,아브뉴프랑판교,경기 성남시 분당구 동판교로177번길 25-0,쇼핑,쇼핑몰,370601
99,경기도,수원시 영통구,아브뉴프랑광교,경기 수원시 영통구 센트럴타운로 85-0,쇼핑,쇼핑몰,368328
100,경기도,안산시 상록구,안산버스터미널,경기 안산시 상록구 항가울로 410-0,기타관광,교통시설,364604
101,경기도,파주시,임진각,경기 파주시 임진각로 164-0,기타관광,기타관광,363434
102,경기도,시흥시,시흥갯골생태공원,경기 시흥시 동서로 287-0,문화관광,도시공원,361372
103,경기도,수원시 팔달구,화성행궁,경기 수원시 팔달구 정조로 825-0,역사관광,역사유적지,361282
104,경기도,포천시,국립수목원,경기 포천시 광릉수목원로 415-0,문화관광,테마공원,357104
105,경기도,용인시 기흥구,골드CC,경기 용인시 기흥구 기흥단지로 398-0,레저스포츠,육상레저스포츠,357017
106,경기도,성남시 중원구,모란민속5일장,경기 성남시 중원구 둔촌대로 68-0,쇼핑,시장,344506
107,경기도,성남시 분당구,NC백화점야탑점,경기 성남시 분당구 야탑로81번길 11-0,쇼핑,백화점,344224
108,경기도,용인시 처인구,캐리비안베이,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,341580
109,경기도,부천시,웅진플레이도시,경기 부천시 조마루로 2-0,문화관광,테마공원,340321
110,경기도,화성시,전곡항,경기도 화성시 서신면 전곡항로 21-4,자연관광,자연경관(하천/해양),340161
111,경기도,과천시,국립과천과학관,경기 과천시 상하벌로 110-0,문화관광,전시시설,333971
112,경기도,안산시 단원구,NC백화점고잔점,경기 안산시 단원구 광덕대로 194-0,쇼핑,백화점,321656
113,경기도,용인시 기흥구,수원CC,경기 용인시 기흥구 중부대로 495-0,레저스포츠,육상레저스포츠,320664
114,경기도,포천시,포천아트밸리,경기 포천시 아트밸리로 234-0,문화관광,공연시설,316328
115,경기도,부천시,뉴코아아울렛부천점,경기 부천시 송내대로 239-0,쇼핑,대형마트,314233
116,경기도,파주시,서원힐스CC,경기 파주시 서원길 333-0,레저스포츠,육상레저스포츠,311686
117,경기도,광주시,뉴서울CC,경기 광주시 삼지곡길 95-0,레저스포츠,육상레저스포츠,300442
118,경기도,화성시,융릉과건릉,경기 화성시 효행로481번길 21-0,역사관광,역사유적지,300360
119,경기도,화성시,기흥CC,경기 화성시 풀무골로106번길 244-0,레저스포츠,육상레저스포츠,300310
120,경기도,과천시,렛츠런파크서울,경기 과천시 경마공원대로 107-0,레저스포츠,육상레저스포츠,299890
121,경기도,평택시,AK플라자평택,경기 평택시 평택로 51-0,쇼핑,백화점,299849
122,경기도,용인시 기흥구,88CC,경기 용인시 기흥구 석성로521번길 169-0,레저스포츠,육상레저스포츠,299410
123,경기도,고양시 일산서구,탄현역,경기 고양시 일산서구 경의로 856-0,기타관광,교통시설,298814
124,경기도,남양주시,물의정원,경기 남양주시 북한강로 398-0,문화관광,도시공원,298478
125,경기도,안산시 단원구,아일랜드CC,경기 안산시 단원구 대선로 466-0,레저스포츠,육상레저스포츠,290918
126,경기도,광명시,광명스피돔,경기 광명시 광명로 721-0,레저스포츠,육상레저스포츠,290903
127,경기도,용인시 처인구,코리아CC,경기 용인시 처인구 기흥단지로 579-0,레저스포츠,육상레저스포츠,290332
128,경기도,평택시,안중공용버스터미널,경기 평택시 안현로서9길 14-4,기타관광,교통시설,289675
129,경기도,고양시 일산서구,아쿠아플라넷일산,경기 고양시 일산서구 한류월드로 282-0,문화관광,테마공원,289385
130,경기도,수원시 팔달구,수원월드컵경기장,경기 수원시 팔달구 월드컵로 310-0,문화관광,레저스포츠시설,286989
131,경기도,여주시,신라CC,경기 여주시 신라그린길 84-0,레저스포츠,육상레저스포츠,286681
132,경기도,화성시,롯데시네마향남,경기 화성시 상신하길로298번길 7-21,문화관광,공연시설,286406
133,경기도,용인시 처인구,플라자CC용인,경기 용인시 처인구 봉무로153번길 79-0,레저스포츠,육상레저스포츠,282434
134,경기도,용인시 처인구,해솔리아CC,경기 용인시 처인구 백자로297번길 74-0,레저스포츠,육상레저스포츠,282033
135,경기도,오산시,오산오색시장,경기 오산시 오산로278번길 10-0,쇼핑,시장,280845
136,경기도,안성시,신안CC,경기 안성시 개울말길 149-0,레저스포츠,육상레저스포츠,280471
137,경기도,성남시 분당구,2001아울렛분당점,경기 성남시 분당구 미금일로154번길 20-0,쇼핑,대형마트,278239
138,경기도,고양시 덕양구,서오릉,경기 고양시 덕양구 서오릉로 334-92,역사관광,역사유적지,277506
139,경기도,평택시,통복시장,경기 평택시 통복시장로25번길 10-0,쇼핑,시장,274409
140,경기도,양주시,레이크우드CC,경기 양주시 만송로 244-0,레저스포츠,육상레저스포츠,273917
141,경기도,안산시 상록구,안산농수산물도매시장,경기 안산시 상록구 충장로 312-0,쇼핑,시장,273853
142,경기도,양평군,용문사,경기 양평군 용문산로 782-0,역사관광,종교성지,273410
143,경기도,고양시 덕양구,고양CC,경기 고양시 덕양구 흥도로 304-23,레저스포츠,육상레저스포츠,272685
144,경기도,수원시 팔달구,CGV동수원,경기 수원시 팔달구 권광로 181-0,문화관광,공연시설,272568
145,경기도,용인시 기흥구,한성CC,경기 용인시 기흥구 구교동로 151-0,레저스포츠,육상레저스포츠,269478
146,경기도,고양시 일산동구,고양종합터미널,경기 고양시 일산동구 중앙로 1036-0,기타관광,교통시설,268827
147,경기도,안산시 단원구,롯데백화점안산점,경기 안산시 단원구 고잔1길 12-0,쇼핑,백화점,268527
148,경기도,하남시,캐슬렉스서울GC,경기 하남시 감이로 317-0,레저스포츠,육상레저스포츠,265978
149,경기도,구리시,구리한강시민공원,경기 구리시 코스모스길14번길 249,문화관광,도시공원,264345
150,경기도,의정부시,의정부제일시장,경기 의정부시 태평로73번길 20-0,쇼핑,시장,262807
151,경기도,여주시,솔모로CC,경기 여주시 솔모로그린길 171-0,레저스포츠,육상레저스포츠,258566
152,경기도,시흥시,솔트베이GC,경기 시흥시 마유로 987-0,레저스포츠,육상레저스포츠,258231
153,경기도,파주시,운정역,경기 파주시 운정역길 368-0,기타관광,교통시설,256351
154,경기도,용인시 기흥구,리빙파워센터,경기 용인시 기흥구 신고매로 59-0,쇼핑,쇼핑몰,255652
155,경기도,양평군,용문역,경기 양평군 용문역길 21-0,기타관광,교통시설,254971
156,경기도,포천시,포천힐스CC,경기 포천시 반월산성로375번길 34-0,레저스포츠,육상레저스포츠,254545
157,경기도,포천시,베어크리크GC,경기 포천시 달인동로 35-0,레저스포츠,육상레저스포츠,254474
158,경기도,이천시,지산포레스트리조트스키장,경기 이천시 지산로 267-0,레저스포츠,육상레저스포츠,251416
159,경기도,파주시,파주CC,경기 파주시 화합로 306-0,레저스포츠,육상레저스포츠,251384
160,경기도,여주시,스카이밸리CC,경기 여주시 운촌길 254-0,레저스포츠,육상레저스포츠,249900
161,경기도,안산시 단원구,탄도선착장,경기 안산시 단원구 대부황금로 0-0,기타관광,교통시설,249203
162,경기도,용인시 기흥구,AK&기흥,경기 용인시 기흥구 기흥역로 63-0,쇼핑,쇼핑몰,249018
163,경기도,구리시,모다아울렛구리남양주점,경기 구리시 경춘북로 230-0,쇼핑,쇼핑몰,248400
164,경기도,용인시 처인구,아시아나CC,경기 용인시 처인구 양대로 290-0,레저스포츠,육상레저스포츠,247983
165,경기도,용인시 처인구,한림용인CC,경기 용인시 처인구 경기동로 628-0,레저스포츠,육상레저스포츠,246150
166,경기도,용인시 처인구,지산CC,경기 용인시 처인구 죽양대로2000번길 60-0,레저스포츠,육상레저스포츠,244958
167,경기도,광주시,큐로CC,경기 광주시 오향길 180-0,레저스포츠,육상레저스포츠,240038
168,경기도,화성시,사강시장,경기 화성시 사강로 189-0,쇼핑,시장,235810
169,경기도,이천시,이천실크밸리GC,경기 이천시 임오산로 296-0,레저스포츠,육상레저스포츠,232552
170,경기도,가평군,아난티코드골프클럽,경기 가평군 유명로 961-34,레저스포츠,육상레저스포츠,231595
171,경기도,화성시,롯데시네마병점,경기 화성시 효행로 1052-0,문화관광,공연시설,230459
172,경기도,여주시,마이다스레이크이천 골프앤리조트,경기 이천시 설가로 602-0,레저스포츠,육상레저스포츠,229694
173,경기도,이천시,뉴스프링빌CC,경기 이천시 사실로527번길 158-0,레저스포츠,육상레저스포츠,229380
174,경기도,가평군,쁘띠프랑스,경기 가평군 호반로 1063-0,문화관광,복합관광시설,228625
175,경기도,수원시 장안구,만석공원,경기 수원시 장안구 송죽동 248,문화관광,도시공원,227613
176,경기도,포천시,대유몽베르CC,경기 포천시 산정호수로 359-12,레저스포츠,육상레저스포츠,226940
177,경기도,안산시 상록구,제일CC,경기 안산시 상록구 태마당로 28-0,레저스포츠,육상레저스포츠,226210
178,경기도,안성시,에덴블루CC,경기 안성시 녹배길 175-0,레저스포츠,육상레저스포츠,225685
179,경기도,파주시,감악산출렁다리,경기 파주시 설마천로 238,기타관광,기타관광,225603
180,경기도,의정부시,의정부버스터미널,경기 의정부시 동일로 640-0,기타관광,교통시설,225219
181,경기도,포천시,필로스GC,경기 포천시 운악청계로 1507-0,레저스포츠,육상레저스포츠,224055
182,경기도,포천시,허브아일랜드,경기 포천시 청신로947번길 35-0,체험관광,농/산/어촌체험,223883
183,경기도,용인시 처인구,양지파인CC,경기 용인시 처인구 남평로 112-0,레저스포츠,육상레저스포츠,222915
184,경기도,가평군,청평역,경기 가평군 청평역로 97-33,기타관광,교통시설,221760
185,경기도,포천시,포천아도니스CC,경기 포천시 포천로 2499-0,레저스포츠,육상레저스포츠,220649
186,경기도,파주시,퍼스트가든,경기 파주시 탑삭골길 260-0,문화관광,복합관광시설,220620
187,경기도,성남시 분당구,남서울CC,경기 성남시 분당구 판교백현로 161-0,레저스포츠,육상레저스포츠,219868
188,경기도,광명시,광명전통시장,경기 광명시 광이로13번길 17-5,쇼핑,시장,218473
189,경기도,안성시,안성베네스트GC,경기 안성시 삼흥로 660-0,레저스포츠,육상레저스포츠,218387
190,경기도,파주시,벽초지수목원,경기 파주시 부흥로 242-0,문화관광,테마공원,217980
191,경기도,연천군,전곡역,경기 연천군 전곡역로 75-0,기타관광,교통시설,217194
192,경기도,오산시,물향기수목원,경기 오산시 청학로 211-0,문화관광,테마공원,216284
193,경기도,하남시,신세계백화점스타필드하남점,경기 하남시 미사대로 750-0,쇼핑,백화점,215868
194,경기도,포천시,베어스타운스키장휴업중,경기 포천시 금강로2536번길 27-0,레저스포츠,육상레저스포츠,215061
195,경기도,양평군,양평TPCGC,경기 양평군 대평평장길 113-8,레저스포츠,육상레저스포츠,214632
196,경기도,부천시,세이브존부천상동점,경기 부천시 길주로 105-0,쇼핑,대형마트,213648
197,경기도,화성시,발리오스CC,경기 화성시 3.1만세로 641-28,레저스포츠,육상레저스포츠,212246
198,경기도,화성시,제부도해수욕장,경기도 화성시 서신면 해안길 253,자연관광,자연경관(하천/해양),211315
199,경기도,용인시 처인구,써닝포인트CC,경기 용인시 처인구 고안로51번길 205-0,레저스포츠,육상레저스포츠,211279
200,경기도,고양시 일산서구,현대모터스튜디오고양,경기 고양시 일산서구 킨텍스로 217-6,문화관광,전시시설,210978
201,경기도,연천군,자유로CC,경기 연천군 노아로297번길 179-55,레저스포츠,육상레저스포츠,210781
202,경기도,포천시,푸른솔GC포천,경기 포천시 금우로 276-0,레저스포츠,육상레저스포츠,210732
203,경기도,가평군,가평베네스트GC,경기 가평군 둔덕말길 232-0,레저스포츠,육상레저스포츠,209244
204,경기도,안성시,루나힐스안성,경기 안성시 약산길 67-6,레저스포츠,육상레저스포츠,208446
205,경기도,구리시,구리전통시장,경기 구리시 안골로77번길 31-0,쇼핑,시장,206993
206,경기도,이천시,설봉공원,경기 이천시 경충대로2709번길 128-0,문화관광,도시공원,206738
207,경기도,여주시,렉스필드CC,경기 여주시 광여로 1115-0,레저스포츠,육상레저스포츠,206268
208,경기도,남양주시,한림광릉CC,경기 남양주시 팔야로 280-0,레저스포츠,육상레저스포츠,206265
209,경기도,파주시,서서울CC,경기 파주시 혜음로 324-0,레저스포츠,육상레저스포츠,206189
210,경기도,여주시,신륵사,경기 여주시 신륵사길 73-0,역사관광,종교성지,204758
211,경기도,과천시,서울동물원,경기 과천시 대공원광장로 102-0,문화관광,테마공원,203929
212,경기도,성남시 수정구,세이브존성남점,경기 성남시 수정구 산성대로 337-0,쇼핑,대형마트,203924
213,경기도,화성시,화성상록GC,경기 화성시 풀무골로60번길 80-0,레저스포츠,육상레저스포츠,203428
214,경기도,광주시,강남300CC,경기 광주시 새말길 353-0,레저스포츠,육상레저스포츠,203058
215,경기도,여주시,아리지CC,경기 여주시 아리지그린길 68-0,레저스포츠,육상레저스포츠,202958
216,경기도,안성시,파인크리크CC,경기 안성시 안성맞춤대로 2417-13,레저스포츠,육상레저스포츠,201261
217,경기도,가평군,썬힐GC,경기 가평군 운악청계로 809-0,레저스포츠,육상레저스포츠,201154
218,경기도,고양시 덕양구,스프링힐스CC,경기 고양시 덕양구 산황로 62-0,레저스포츠,육상레저스포츠,200353
219,경기도,고양시 일산서구,일산시장,경기 고양시 일산서구 일청로12번길 9-0,쇼핑,시장,200148
220,경기도,수원시 팔달구,지동시장,경기 수원시 팔달구 팔달문로 19-0,쇼핑,시장,198213
221,경기도,용인시 처인구,블루원용인CC,경기 용인시 처인구 보개원삼로1534번길 40-0,레저스포츠,육상레저스포츠,197605
222,경기도,파주시,운정호수공원,경기 파주시 경의로 1151,문화관광,도시공원,197571
223,경기도,여주시,남여주CC,경기 여주시 가여로 532-0,레저스포츠,육상레저스포츠,197150
224,경기도,여주시,여주종합버스터미널,경기 여주시 세종로 85-0,기타관광,교통시설,196231
225,경기도,이천시,더크로스비GC,경기 이천시 중부대로798번길 177-0,레저스포츠,육상레저스포츠,195772
226,경기도,평택시,뉴코아아울렛평택점,경기 평택시 경기대로 279-0,쇼핑,대형마트,195435
227,경기도,양주시,송추계곡,경기 양주시 장흥면 울대리 송추계곡,자연관광,자연경관(산),194279
228,경기도,광주시,그린힐CC,경기 광주시 내선길 176-0,레저스포츠,육상레저스포츠,193377
229,경기도,구리시,롯데아울렛구리점,경기 구리시 동구릉로136번길 47-0,쇼핑,쇼핑몰,193245
230,경기도,수원시 권선구,서수원버스터미널,경기 수원시 권선구 수인로 291-0,기타관광,교통시설,192838
231,경기도,가평군,자라섬,경기 가평군 가평읍 달전리 1-1,자연관광,자연경관(하천/해양),190901
232,경기도,파주시,스마트KU골프파빌리온,경기 파주시 보광로 1616-0,레저스포츠,육상레저스포츠,190589
233,경기도,연천군,재인폭포,경기 연천군 연천읍 고문리 산21,자연관광,자연경관(산),190265
234,경기도,안양시 동안구,뉴코아아울렛평촌점,경기 안양시 동안구 동안로 119-0,쇼핑,대형마트,189947
235,경기도,성남시 중원구,상대원시장,경기 성남시 중원구 희망로344번길 6-0,쇼핑,시장,188490
236,경기도,안성시,윈체스트GC,경기 안성시 오촌길 97-31,레저스포츠,육상레저스포츠,187684
237,경기도,포천시,포레스트힐CC,경기 포천시 봉화로 253-0,레저스포츠,육상레저스포츠,187070
238,경기도,이천시,블랙스톤이천GC,경기 이천시 장여로 459-160,레저스포츠,육상레저스포츠,186858
239,경기도,이천시,테르메덴,경기 이천시 사실로 984-0,체험관광,웰니스관광,184884
240,경기도,안산시 상록구,안산호수공원,경기 안산시 상록구 해안로 615,문화관광,도시공원,183918
241,경기도,부천시,상동호수공원,경기 부천시 길주로 16-0,문화관광,도시공원,183478
242,경기도,남양주시,봉선사,경기 남양주시 봉선사길 32-0,역사관광,종교성지,183352
243,경기도,여주시,소피아그린CC,경기 여주시 소피아그린길 84-0,레저스포츠,육상레저스포츠,183184
244,경기도,수원시 권선구,NC백화점수원터미널점,경기 수원시 권선구 경수대로 270-0,쇼핑,백화점,182522
245,경기도,수원시 팔달구,수원화성,경기 수원시 팔달구 정조로 825-0,역사관광,역사유적지,182089
246,경기도,용인시 처인구,용인중앙시장,경기 용인시 처인구 용문로 198-1,쇼핑,시장,179562
247,경기도,여주시,여주CC,경기 여주시 월평로 78-0,레저스포츠,육상레저스포츠,175769
248,경기도,용인시 처인구,은화삼CC,경기 용인시 처인구 백옥대로 860-38,레저스포츠,육상레저스포츠,175360
249,경기도,용인시 처인구,한원CC,경기 용인시 처인구 전나무골길2번길 94-0,레저스포츠,육상레저스포츠,175018
250,경기도,과천시,국립현대미술관과천관,경기 과천시 광명로 313-0,문화관광,전시시설,173817
251,경기도,고양시 덕양구,한양파인CC,경기 고양시 덕양구 고양대로 1591-0,레저스포츠,육상레저스포츠,172583
252,경기도,가평군,베뉴지CC,경기 가평군 용추로171번길 100-0,레저스포츠,육상레저스포츠,171273
253,경기도,용인시 처인구,용인자연휴양림,경기 용인시 처인구 초부로 220-0,자연관광,자연공원,169333
254,경기도,안성시,골프클럽Q,경기 안성시 장계길 20-229,레저스포츠,육상레저스포츠,169075
255,경기도,화성시,율암온천숯가마테마파크,경기 화성시 온천로 434-14,체험관광,웰니스관광,168624
256,경기도,포천시,백운계곡,경기 포천시 포화로 236-24,자연관광,자연경관(산),168303
